Do you give consent for AIR to use the data from this survey?,Did you work in Edmonds School District in 2021-2022?,Please select a primary role describing your work with Edmonds Public Schools during the 2021-2022 school year. Select the answer that is most accurate.,,What grade levels are included at the site(s) in which you taught/worked in 2021-2022? (Check all that apply),,,PD topics,data-driven decisions why disagree,climate culture facilitators,climate culture barriers,effective communication,ineffective communication,communication recommendations
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"I would appreciate focused, intentional PD on specific ways to support students with ADHD, as well as students whose resilience has suffered from their remote learning experience.",,"Because IEP caseloads are so high at my school, much more focused and intentional PD around how all staff can support these students would be highly beneficial.",I'm not sure.,"Communications that are clear, action-oriented, intentional, and well-organized are effective.  When a potential email is thought through before being sent, it is more likely to be meaningful.","Knee-jerk emails from admin can be upsetting for staff.  When a communication isn't thought through before sending, energy and worry is wasted.   Time is taken to clear up confusion.","The district could support admin by providing templates for certain communications, so they didn't have to re-invent the wheel each time they change schools or positions."
Yes,Yes,Other (please specify),SPED and GENED Substitute,Elementary school (grades Pre-K to 6),,,How to effectively change/manage behavior in classrooms where behavior change is the primary issue. ,I see teachers with no proven classroom management experience undercutting knowledgeable Paras who know how to affect a student's change for the better.,Teachers (and Administrators) who really know their stuff on behavioral development/change. Or frequent in class support/training from experienced professionals who really know their stuff.,"Lack of truly qualified, experienced personnel both in the classrooms and in the system for providing training and support.",An environment of caring and an emphasis on safety.  These by themselves may not be sufficient to affect behavioral change.,"Not enough clarity on what a successful SPED/BEHAVIORAL classroom teacher should demonstrate to be hired. Hiring the correct paper credentials, but not proven performance.",More time for Administrators to really hear from/listen to classroom teachers. Quick before/after school meetings on multiple topics are not effective. Perhaps one focus/topic for a half day to generate solutions.
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,"As an interpreter, being provided the opportunity to learn more about interpreting subject specific vocab/situations would be beneficial ",,More ASL interpreters and mainstream staff remembering to request interpreters for special events that happen both during and out of the school hours.,Mainstream staff not being well educated on our role as interpreters as well as how to interact and include their Dead peers.,NA,NA,NA
Yes,Yes,"Non-certificated support staff, including paraeducators",,,,High school (grades 9-12),"i'd like more very explicit information about the students, their disabilities and how to best support them.  I know that can be physical or emotional and the autism spectrum is included in that as well. real life examples would be very helpful.  I haven't understood why in the past the paraeducators were only allowed to know certain information about  the students condition/situation when we work directly with them.  I think when there's a teacher sub or para sub working with students with disabilities they should also have training, or at least know what they are signing up for.  Consistant weekly or bi-weekly meetings and/or debriefing with staff would be very helpful.",,"training (always) SEL, autism, behaviorial (specific to special education)  communication between staff/students  consistancy (teachers that stay in the classroom the duration of class)    ","high teacher/para turnover, teachers that leave the room during class.   Teachers that take on too much at school along with teaching special education.  Substitute teachers/paras that dont have or seem like they dont have the special education training when substituting.  (One para sub was antagoinizing a student, another para sub responded to a student who asked them why they were there saying it wasn't any of their business, and told them to sit down.)  More communication/debriefings (always)","in person (1:1 or with a group),  chat,   text (in and out of school-  out of school giving just a heads up if theyre going to be out, and if there's a sub)  email (personal 1:1 and group)",non-existant and/or inconsistant ,More specific in person or online meetings if only to catch up or debrief a day or situation
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,,,High school (grades 9-12),"College and Career support. How to support our MLL students in their post high school planning, how to communicate with students and encourage pre-planning. ",I think the placement decisions are made to make the path easier for our students with disregard to our teachers and class size.,,,,,
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,,Our input is largely ignored.,"Listen to us, the teachers!","iep's are way too hard to get, and many parents don't know about them or how to get them.","email, but seldom used to parents",,
Yes,Yes,"Non-certificated support staff, including paraeducators",,,,High school (grades 9-12),,as a par Im not involved in these decisions,,,Just a note that in the beginning there was no option for those  that work with transition students 18- 21 years old! that is the group I work with,,
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,Working with students on the autistic spectrum  Helping students with various learning disabilities,,,,,,
Yes,Yes,General education teacher,,,Middle school (grades 7-8),,"How SpEd teachers can work with GenEd teachers to adjust curriculum. Actually working together to plan, not just telling GenEd teachers what to do.","Students are not placed in classrooms that meet their needs, they are often placed where there is room. ",We need more SpEd educators and much more training for GenEd teachers.,Time to work together.,I don't really see any as most communications are  top down with little to no input from teachers/staff working in schools. ,Most communications are  top down with little to no input from teachers/staff working in schools. ,"Include teachers in decisions, we are the ones working directly with students and understand what is happening in the classroom.     "
Yes,Yes,Other (please specify),Title 1 teacher,Elementary school (grades Pre-K to 6),,,"behavior, differentiation",I am a special education teacher by training and have had this position in Edmonds. I do not see good communication from the district level. Difficult cases just seem to go on and on and it is detrimental for the students and families. I see good communication at the school level but not supported at the district level and that leads to chaos and parents having a bad experience. ,We opened a sensory room which gives students an alternate place when they are struggling emotionally. ,There is not enough space - to much behavior happens in the hallways which disturbs learning and is not good for the student. No district support. Students not in proper placements that are best for them. ,"We have good communication within our school and an extremally supportive administrator. HE listens, will contact parents with us. We have great psychs who listen and work with us and parents. ","When I had to step into a sped position on short notice, I had absolutely no support from the district, to the point that they wanted me to contact parents about the change even though no one knew me and this was a district change. Only because I had sped experience did I know what questions to ask and it was really hard to even get a caseload list. It was very stressful and I was very disappointed at lack of support at the district level when they had made the change. ",There needs to be less bureaucracy and more direct contact of  mentor staff coming in to help in classrooms and support solving difficult situation. Behavior is almost out of control in the schools and not because teachers aren't working hard at it. 
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,,,High school (grades 9-12),,,Having a team that values industry standards and working together to accomplish effective best practices within EDK12 interpreting. ,There are a disproportionate amount of DHH accessibility needs to number of staff interpreters. Issue is compounded by a lack of general awareness of industry standards amongst HR and admin causing a change to standard practice and thus disincentivizing staff interpreters to accept work outside of contract hours. Unfortunately the reliance on agencies to fill this gap risks ostracizing our interpreters and impacting the culture within the program negatively.,Schoolwide outreach efforts in supporting students in need and at risk.   & Fostering a community of acceptance and diversity. ,"Communication and transparency between HR and staff. This includes a large variety of situations. It seems any time something comes up, the employee who is most impacted by said situation is the last to be informed of, even when it impacts a persons pay schedule. I have not been pleased with the lack of support I've had from HR and the lack of definitive policies and standards to be agreed upon. Our MOU is lacking important details related to our practice profession industry. ",Reach out when things happen. Collaborate more. Hold transparency as a key value. 
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,,The statements aren't true.,We need more para-educator support in the classrooms to help students with disabilities.,"lack of shared information, lack of training, lack of support",Online communication is effective for families that read and speak English,Any communication that is not accessible to non-English speaking families,"translators, interpreters, being sensitive to the needs of working families"
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,,There are not consistencies in placement and the needs of individual students are not taken into account when placing in rooms; it is also not reflected in the impact it has on the current situation in the room - disturbing a balance and making the room not as functional.,There needs to be an improvement in the understanding of special education children - and their needs as students also requiring social interaction and developmental goals.,Basic understanding of their needs as children.,"In classroom discussions and communication for the well being of our students, including multiple disciplines. I do not feel the district supports the staff or children for growth or improvement.",Communication and acknowledgement of needs.,Start with staffing.
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,Strategies on how to work with students that have attention deficit disorders. How to effectively teach students on the spectrum. How to help students with dyslexia. ,"Current models place a high burden on students of disabilities and their classrooms. With the pull out model, not only are students struggling to learn classroom content, but then they are removed for their support services to do additional work while their peers are moving forward. This often creates frustration when they return because they are even further behind their peers. ","I believe we need to reevaluate what inclusion looks like. I see so many students struggling in the classrooms, and building negative attitudes towards education over time because they are unable to access the curriculum. Yet they are juggling the academic demands of the classroom and that of their support groups. I believe we should have more special education instructors and more than a single model in place to meet the needs of this population of students. ","High workloads for the SPED teachers, narrow definitions of ""inclusion"" and ""least restrictive environment,"" a top/down organizational model, and heavy micromanaging of time-the  most valuable resource teachers need to help students. ","The rare unstructured opportunities teachers, families, and administrators have to visit with one another. ",We bombard one another with digital information. ,"Let go of the mindset that suggests in order to learn we have to measure and control all outcomes. It is reductive and dehumanizing. Teachers, families, and administrators need time in the day to laugh, to daydream, to share visions and ideas, to read for pleasure, to reflect, to engage in divergent thinking, to be creative-to use both hemispheres of our brain. Our culture insists, that in order to be productive, we focus primarily on left-brain modes of thinking and organizational structures. There is more to us than that. "
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,,~Intervention implementation  ~Types of interventions and best fit for skill deficits  ~Class management strategies  ~Inclusive teaching strategies training,,"People learning how to build inclusive learning environments in the general education setting and not expecting SPED to ""fix"" all the problems faced. ","People not understanding what the basis of SPED is and so their misunderstandings lead to judgements about services provided. For example, not all gen ed staff understand the importance of the Least restrictive environment and so they push for excessive services at times, and it leads to conflict. Or they paint the picture to parents that SPED does not want to support the student which also sets the SPED team up for facing criticism that is based in a lack of knowledge about the system. ",Staff meetings and trainings. ,general newsletters about changes that may need to be presented in a way that allows for questions and clarifications. ,"having open forum times for staff to ask questions or get feedback, or give feedback about how things are going on site. "
Yes,Yes,School administrator,,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,Universal Design for learning  Universal Design for Learning with Equity,"How does one know if a student should be in a Learning Support Class or an IS class?  What is the definition of ""Success"" in a General Education classroom for a student with an IEP?  Other than Intense Support and Learning Support what other options are available for students in the district? What % of time with SDI equals what level of support? (IS, LS, etc.)  When data is collected - for a student leaving the IS classroom and going into Gen Ed.  Is it considered successful because they ""sat"" in class and did not engage except if they worked on a computer?  Who is required to give SDI in a Gen. Classroom?  What does SDI in social skills look like?  What Curriculum are we using and is it best practice?","Our LS teachers are personable, and easy to work with. They also believe that students need to hear their grade level content first and come to LS for targeted learning. ",Communication and transparency are barriers to a positive climate.  Hard honest conversations about ones own work - taking ownership for the intervention (lack of) for students with special needs.,I don't see communication going to families specific to special education.,I don't see communication going to families specific to special education.  ,"As a parent with a child of special needs I have attended many presentations by Parent2Parent of Arc of King County to learn about a variety of topics important to parents: IEP meetings, Washington ABLE account, Applying for DDA, Applying for DVR, etc.   I think it would be great to invite them in and offer a zoom option. "
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"Seems like we are getting into an era of almost the whole class being diagnosed with some form of ADHD, ODD, Anxiety, etc. Would be nice to know what else I can do besides file a PST form and wait six months for help. ",I believe everyone is doing everything they can to help. We as classroom teachers can't be waiting for help for months on end while an undiagnosed child is flailing around and being a consistent disruption to others. ,"More staff so that more children can be addressed, instead of long wait times and struggling through curriculum. ",Staffing for diagnosis and adequate support after diagnosis. I have students that are three levels below their peers. How can we adequately differentiate for them?,Having students pulled from class for support. ,"Waiting months for a diagnosis, and longer for a plan of action. ",The school admin/counselors should be contacting parents. Not the Teachers. 
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,"Behavior management, typical strengths and weaknesses of specific students with disabilities, teaching strategies/methods, etc.",,Passionate teachers and faculty who genuinely care about students with disabilities and their growth and will do everything in their power to help them succeed. ,,"Regular email communications, staff meetings, group meetings, and daily communications regarding student needs. ",,
Yes,Yes,General education teacher,,,,High school (grades 9-12),,,Following Draft 5,,"The communication from the district is nearly non-existent. When it does come, it goes only to the principal who is asked to forward it to the relevant staff. Principals are often too selective in who they feel this includes or they don't forward it at all and no one gets the info. Having a middle man is not helpful.     Additionally, the district seems to do everything at the last possible second so decisions are being made without enough time to implement or sometimes even after the fact. No one is following Draft 5 and actually getting input from those who would be impacted by decisions.  ",The schools board seems to take the word of ESC admin as gospel and rarely hears from teachers or other staff. It would be a good idea to have teacher advisors at school board meetings in addition to the wonderful student advisors.,Have teacher advisors at school board meetings to keep the ESC leadership honest and to provide a firsthand perspective. Bring back Draft 5!
Yes,Yes,General education teacher,,,Middle school (grades 7-8),,Serving students with disabilities in a general education setting,students are just placed into classrooms and the teachers have not been asked if its going to be a good fit in that classroom dynamic. We are given a piece of paper and left to support that student.,support and collaboration,lack of paras and one on one support for students who really need it.,school,district,teachers are looking for more support not being told all the time.
Yes,Yes,General education teacher,,,,High school (grades 9-12),how accomodations apply to assignments  different ways of working with different disabilities  anxiety and how it has taken over IEPs and what this means,"I have seen recently that in spite of student data showing the student is achieving, if the parent/doctor says the student has ""anxiety"" students are issued IEPs to leave class or take more time --- the data of the student success is ignored. It used to be that the qualifying factor needed to impact the success of the student. Data seems to be completely ignored","Teachers are encouraged to provide input to case managers at any time of year, but specifically at review points","Focus on ""what can students do to pass"" emails vs ""has the student been working to meet their IEP accomodations"" and ""how can we help them in moving towards success in your class"".  The ""what can they do to pass emails"" are almost always answered by --attend my class and turn in work. ","Currently I don't see many communications about students with IEP to be effective. These are almost always simply ""Here is their IEP at a glance"" and ""what can they do to pass"" -sent the last week of the quarter or semester","One example is requests to know how students who have not attended a class after 2 months of being enrolled, can pass.  These tend to be frustrating and completely inefficient.  The other aspect is that administrators seem to have their ""pet"" project students reguarding this and they seem to always be the students who are not attending and not using Canvas to make up work  instead of those who are in class and struggling who, as a teacher, you would love to see get some extra help","Improved PD options and administrators/case managers who look at more than a letter grade, but look at missing work or attendance before adding to a teacher's communication load"
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,,,,,Sending information out in the written form AND giving us time to read and process it before discussing it.,,
Yes,Yes,"Non-certificated support staff, including paraeducators",,,,High school (grades 9-12),,I don't think information is consistently communicated amongst the whole team,more involvement from gen ed teachers at student iep meetings,communication issues among staff,responding to emails and phone calls,sharing information that is not always correct,more honest and timely responses
Yes,Yes,General education teacher,,,,High school (grades 9-12),,,More effective communication regarding special education as well as professional development.,Lack of effective communication about how things work within our building regarding meeting the needs of special needs students.  There also is a huge lack of personnel to to help support our special needs students.,Timely communication (emails) ,lack of followup regarding communication,Communicating with all stakeolders. 
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"UDL and inclusive practices, coteaching, district curriculum's modifications/accommodations/built in scaffolds. ","There is a lot of inconsistencies across the district and even one school setting in making placement decisions, sometimes without data to ground decisions being made. ",,,,,
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,trauma affected students identifying these students in your classroom & strategies proven effective in teaching them.,,Special Ed. students participation and involvement in the GenEd classroom or specialists.,Lack of understanding and/or knowledge of the disabilities and how said disability presents themselves in a student btwn 6-12 yr olds.,Both,,
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,"Science based Reading instruction, Best practices in Math instruction for Special Ed students",,For general ed teachers to have more training and expectations around differentiation for all students that also effect special ed students in their classrooms.,Having more examples of how differentiation can be done as a practice within a general ed classroom.,I really like being able to work with a Coach in areas where I could use help or more expertise.  I like having some trainings available asynchronously to access.,,"If there is a date posted for a particular group on the calendar, being able to rsvp and prompting emails are very helpful, especially with people we see/work with infrequently. "
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,Teaching students with disabilities,,"More inclusion of special education students with gen ed students, particularly in specials.","Not enough training for staff who work with these students, and not enough staff are hired to work with these students.","All teachers of students in special education need to be updated and informed on best practices, IEPs, etc., including specialists.",Separating special education students from the rest of the school is ineffective. Special education students need to learn alongside their typically learning peers whenever possible.,Include specialists in all communications!
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,maintaining a safe environment for both students with special needs and students without special needs.,,"Since we do work so hard to get our special education students into general education classrooms, I wish that we would offer special needs training to ALL teachers and support staff. General education teachers are often unfairly unprepared for the integration of special needs students into their classroom. ","The special education program often causes disturbances that make all staff and students feel unsafe. We do well including kids with special needs and working with them, but the staff and other students often are unsafe (getting punched, getting screamed at, etc) because of outbursts that do not result in suspension (in-house or at home).",email and parent square are effective,none,none
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),High school (grades 9-12),,,"Consistent practices, procedures and guidance from the district. ",Lack of support - both professionally and resource wise. ,In person meetings to hear about the unique needs of the school. ,"Newsletters and emails from the ""Student Services Leadership"" - so impersonal and then we don't know who to contact if we have questions. ","Active listening, valuing the perspective of people doing the job, and being able to communicate via email without being told what we are not allowed to write in an email. "
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,,,team building activities,more and consistant staff,self-care,,
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,,"programs are full, paras are not available /or not trained. Not enough range of placement options for example students who are nonverbal, delayed cognitively, and need toileting, are placed with students who are verbal, cognitively not delayed, and have emotional dysfunction and are physical when triggered. ",Decrease class load.  Para educators that are trained for working with students with emotional dysregulation,"Understaffed, and overworked certificated staff","daily emails from office managers, and weekly emails from principals.",email from special services are impersonal ,"special education managers should get out of the ESC, and have personal realtionships with their individual staff. Managers should make personal contact monthly, and weekly contact via group email.    Right now there is no personal contact. And, when a sped case manager has a question, unlikely that sped teacher knows who to contact, and if they know who to contact, there may not be any personal connection or trust."
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,Unsure on what I need to know?,,,,,,
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,,,, Yes,No,Yes,Yes, Continuous
Yes,Yes,"Non-certificated support staff, including paraeducators",,,,High school (grades 9-12),,,,Lack of para educators. ,,,I feel it would be beneficial to have weekly meetings with our immediate supervisor to discuss our students and what we may do to meet their needs. 
Yes,Yes,General education teacher,,,,High school (grades 9-12),"Education about new research into Autism, Asperger's, OCD, etc.   ","Students are referred, magical things happen, a concluding meeting occurs.  THIS PROCESS TAKES TOO MUCH TIME.  ",Combined SPED and Gen Ed math classes that are co-taught,Students who should be evaluated are taking MONTHS to look at.  I referred a student in September.  The IEP is still not done.  We got a CLEARLY Autistic Student in November and there has been no finish to the referral process.  The eval team is UNDERSTAFFED and the district Admin could have cared less.  ,IEP's provided to teachers but this should be EARLIER (before schools starts but classes are populated.,,MORE STAFF - more consistent staff
Yes,Yes,General education teacher,,,,High school (grades 9-12),"While training is important, there is also a need for supports in the classroom. This could be in the form of team teaching with highly trained certificated or classified Learning Support staff","I have been a classroom teacher since 1997 and placement decisions have always been imposed on classrooms. They seem to follow the winds of political changes at ESC's special education department or in Teaching and Learning. We occasionally hear very top down general statements about program changes such as inclusion and the addition of, or removal of one-on-one supports. We almost never hear how individual placement decisions for students are made. classes. ",Care should be taken in placement of SpEd students. Individual GenEd sections should not have more then 2-4 SpEd students. High concentrations of SpEd students in GenEd classes require instructional changes that negatively impact ALL students.    Care should be taken in placement of SpEd students relative to other high needs groups such as ML students.    Options other than mainstreaming all students that provide supports for severely impacted students. There are limits to what is possible in a mainstream class.    More direct classroom support in terms of co-teaching or paraeducator supports where students are mainstreamed. Every class with students with disabilities should have this support for a least a portion of each class period.,Tracking of Honors and GenEd classes creates a need to have high concentrations of high needs students in GenEd classes. This results in less time to actually deal with the SpEd students need during instructional time.    Extremely limited time outside of the classroom to interact with all students. Before and after school times are limited by transportation needs and persistent meetings. In-school time to call students for supplemental help are limited to a short 30 minute Advisory that are consumed with administrative tasks such as attendance and tracking student movement that seriously reduce our ability to use the time in helping students.,"Face to face meetings in a small group environment of stake-holders.    Ability to talk with, rather than email, school support staff such as Case Managers and Counselors. I have repeatedly been discouraged from using the phone or in-person meetings.","Understaffing both GenEd classes and support personnel to the point of making provision of supports to students, reasonable assessment, and curriculum planning possible.",Decrease ESC staffing.   Increase direct instructional staffing.   Move new supports from offices into the classroom.   Increase classroom staffing at all levels of support.
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,,,"Ongoing discussions, capable trained staff, ",Schedules and trying to fit things in and meet needs with limited people and paras.,Email,Not sure,"Short, clear, concise emails. "
Yes,Yes,Special education teacher,,Elementary school (grades Pre-K to 6),,,teaching academics in enclosed classroom while managing behaviors and providing the social and emotional support that the students require.,Students have been placed in schools without first discussing with the schools about the needs of that students or finding about the current student makeup and how it might impact the learning of all students. ,Providing a sensory room that is adequately equipped and staff trained in how it can best be used by all students. ,Some of the behaviors that the students in Special Education exhibit towards students tend to create a negative environment and prohibit any Sped students from being able to have a positive experience with GenEd students. When Sped students spend the majority of their day in a classroom with other Sped students they tend to not spend time with GenEd students during recess.,In-person and Zoom meetings.,Frequent emails,More succinct emails with bullets and links 
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,,,Working together regarding students g  IEP goals. ,Communication ,Small group instruction and block learning times. ,In class aids. Evaluate all students that show a need for specially designed instruction. ,Require teachers to review IEP
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,,How to support students with health disabilities as a school nurse,,,Not acknowledging different cultural views of special education. ,Phone calls and one-to-one emails from school level.,,
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,violent disruptive behavior,It takes 2 years of daily behavior reports for the kids to be evaluated by a district level observer.  The  feeling I get is lets wait and see if another year or different teacher makes a difference,Support and or services  given,lack of support and limited service time,admin calling and speaking with parents about the impact their kid has on the rest of the class,"telling the teacher to just deal with the problem  ""quit calling the office for help with  the child""",better  screening tools so the child gets the intervention earlier      on site parent support team that can refer parents to community resources
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),High school (grades 9-12),Substitute paras as well as substitute teachers have little to go on when they go a day of assignment. It would be nice to have a basic knowledge of every child's needs emailed 24hrs prior to the day we go. ,"Only when there is a language barrier does the decision make it hard to be clear to the parent. On different occasion or case, a student never received adequate services because the parents were either not notified or misunderstood they needed to be present and have a signature to an updated IEP. Therefore the new IEP never started. The student was held back. ","I am a substitute Para, so I can't really pin point one school. However I have seen all Special Ed staff maintain optimism and support one another when days are hard. They have good communication with school pysycholgist and councilors, and nurses. The Principle is also present during evaluation meetings and it makes the parents feel more at ease about the decisions being made for their child's developing education. ",There is a lack of staff for the amount of students. ,"Email, and text are the most effective ways to communicate. ",Phone calls are the least effective. Most of the times missed calls and voice-mails get unnoticed,"I am glad the school district has finally opened an Interpreting Translating Department. It has helped many staff members and parents with communication.    On the other side, however, staff staff members who work in special Ed or with student who are struggling are underpaid for the amount of work and effort they do, considering they are understaffed and the work load is beyond what they should be handling. "
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,Training in proper care for all kids with disabilities and levels ,"Kids should be placed at schools based off of needs, not because there sibling goes there",More para help in the class room to help kids with special needs,Kids with behavioral needs disrupting general Ed classes ,Direct communication ,School placement decisions for special needs child made with out input from school staff,The district making decisions with the schools not for the schools 
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,How to support students who are clearly struggling in the gen ed classroom. Especially around executive functioning and how we can support them in making progress towards their goals. ,"When making placement decisions, it is supposed to be data driven and a team decision, but often it is heavily weighted on what the parent wants and not necessarily what is best for the student and what the team agrees upon. I have seen this happen in countless meetings. Students are then placed in an environment that does not meet the need of the student. ",More support. There are more students who have high needs coming off the pandemic. And the students in special education are in need of some of the most support. And we are adding students to their caseload constantly. Having more support would absolutely make a difference in the climate and culture of special education.,"Barriers to a positive climate would be continuing to let the loudest voice make decisions for students. Returning to letting the team decide on placement for students would allow for trust to be built between admin, the district and the teachers, and eventually the parents as well. ","Effective communication is communication that is repeated, clear, and consistent. I say repeated because it is not enough to just tell a group once what to do, as teachers we know these things have to be repeated. They do for groups of adults as well. ",Top down - the district telling us what do do regarding our professional experience and not including us in the decision making. ,"When there are decisions that are being made that effect our job day to day, ask us what we think and trust us to give you our professional opinion. "
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,,Middle school (grades 7-8),High school (grades 9-12),"- Teaching materials being used by the teaching teams and special education programs (not presented to specialists/itinerant services though it would be helpful for team discussions)  - Changes in laws or regulations and how that should be implemented in practice (presentation by a lawyer or a staff member that attends the SPED law conference that occurs every year)  - Evolving practices around special education evaluations as Washington moves away from discrepancy and yet our district is not implementing MTSS fully - what does this mean for evaluations and eligibility under SLD? Would love work groups, collaboration, and discussion.  - Supporting students along a continuum of levels - we need more time to understand models in other levels (i.e. elementary needs to understand middle.  Middle needs to understand elementary and high.  High school needs to understand middle).  We do not have enough understanding of service provision across this span in general.  Then IEP teams make decisions that are less about student needs and more about the presumed setting.","- There have been recent changes to processes that have made it unclear who is making placement decisions.  There was a much clearer process in years prior to 2019-2020.  - New leadership has added tiers of middle management that do not make support buildings in making decisions, since ultimate decisions are taken back to staff at higher levels.",My comments are not about my individual schools or the building administrators.  The challenges with the climate in the special education department are from leadership from the central office.  My previous statements are related to those leaders not my building.    In regard to the district leaders factors that would be facilitators are:  - Regular communication (that is searchable and archived in a way that can be referred back to)  - Decision-making that includes stakeholders (those that are doing the job or will be impacted by changes that are made)  - Procedures and processes that are clear and shared in a timely manner with staff  - Greater support for teachers that are new to the profession  - Better alignment of SPED services within the general education framework.  There needs to be more oversight of core standards taught to students that are eligible for special education - especially in secondary settings.,"- Top-down leadership  - Presenting practices without allowing staff to preview, digest, and ask pertinent questions so that the best outcomes can be made",District:  - There have been Newsletters that sometimes contained pertinent information regarding upcoming changes or expectations.  It was nice to have regular communication (though some of the content needed to be better organized or thought out),District:  - Implementing or rolling out changes without including stakeholders in decisions and therefore overlooking pertinent perspectives that would have supported better decisions  - Lack of response to emails or phone calls for extended periods of time (weeks or longer sometimes) though there is a district policy on returning communications in a timely manner  - Leadership at the district level passing the responsibility around to one another so that it is clear nobody is actually taking on the lead in decisions that require consultation from district SPED leadership,"- Sharing meeting agendas and information ahead of time, including ensuring that everyone can access the documents being referred to  - When procedures or changes to procedures are being presented clear reasons are provided so that staff can understand what challenge or error we are fixing  - Organization and planning clear in any communications with staff  - Include staff members or representatives in decisions before sending out procedures so that things do not need to be reversed."
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,Supporting students with behavioral disabilities ,I have many students in small learning groups who are grouped with other students who are far below their learning level and the opposite. There is plenty of communication to those who make placement decisions and nothing is ever done. It's a disservice to those student who are not getting instruction at the level they are capable of.,,Clear and positive communication ,"Phone call, email/documents with a serious tone.  ",Paper communication,"Follow through after emails are sent, papers sent home. More parent teacher conferences. "
Yes,Yes,Other (please specify),substitute teacher,Elementary school (grades Pre-K to 6),,High school (grades 9-12),"ADHD, Trauma informed practices, ACEs - Adverse Childhood Experiences, Dyslexia",,"Clearly communicated procedures, professionalism, support","Interpersonal conflicts among staff, unprofessional behavior, burnout",concern for students,general education teacher preparedness and support for students with disabilities,not sure
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,,,Teachers who are willing to put in time to support students and colleagues ,"We have 2 very high needs special education classrooms that require our administration to spend a lot of time with those students, allowing less time for the general population of students.",,,
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,How to deal with students with emotional issues and learning disabilities ,,,,,,
